id;brand;model;year;price;mileage;color
1;furthermore;handball towards blah;26679;7256.76;1504;green
2;mulch;onto flat;19655;28311.6;1108;pink
3;because;insurance;3551;20358.79;28848;cyan
4;yahoo hurt what;soft;12682;19743.98;27928;purple
5;until;phew learn;24488;31420.78;4470;turquoise
6;but;anenst spiteful;11734;11101.75;16722;grey
7;stormy;secretariat;13187;4500.72;28257;azure
8;around fooey;tenderly plaster lonely;3005;20793.52;16717;pink
9;shyly;briskly lazily;27934;21803.94;22714;olive
10;versus cancel;blah from vain;15778;4272.71;17934;orchid
